Priority,Short Description,Subdirectory,Report ID
P3,"""e is not defined"" error while trying to log ""Error while loading thumbnail""",Firefox,636637
P4,Rewrite afterAllTabItemsUpdated in head.js using a tabItem observer,Firefox,633096
P4,Add toString method to various Panorama objects,Firefox,633308
P4,Check Items.arrange() calls to make sure tab bounds are correctly calculated,Firefox,635943
P3,Intermittent Failure in tabview/browser_tabview_bug597248.js | Tab item is showing cached data and is already connected or | Tab item is not showing cached data anymore,Firefox,615954
P4,"Consolidate code for ""new window"" tests into newWindowWithTabView",Firefox,623673
P2,intermittent timeout in browser/base/content/test/tabview/browser_tabview_bug626791.js,Firefox,636790
P4,drag/drop of Google Map elements in the left-side list of a personal map does not work,Firefox,633491
P4,"Sometimes, no tab gets the keyboard focus when entering Panorama",Firefox,637169
P4,Update browser_tabview_firstrun_pref.js to test the existing behavior,Firefox,637232
P4,Website's title remains  active during zoom in animation from stacked pile in Panorama,Firefox,637337
P2,"Gmail JavaScript (confirmation) dialog box doesn't have titlebar, borders etc",Firefox,637614
P5,"after closing a group in panorama, focus should go to the last used tab in the last used group",Firefox,637840
P3,browser_tabview_orphaned_tabs.js | tabview assert: callback arg must be a function,Firefox,638083
P1,Firefox 4 beta 12 don't show arabic langage correctly,Firefox,638458
P2,Switching into and out of Panorama mode quickly can cause the wrong tab to be selected on return,Firefox,638273
P1,Loading a Java Class fails in an extension (used to work in FF 3.x),Firefox,634891
P4,Allow customizing name directly in Move to Group > New Group,Firefox,638637
P2,Error report,Firefox,639821
P4,Panorama tabs-from-other-windows button displays &nbsp;,Firefox,640062
P4,"""Tabs from other windows"" text disappears with background window",Firefox,640065
P3,"""Move to group"" option stays populated with the old data even after the groups have been deleted in panorama",Firefox,641802
P5,The focused Tab is not set first in the stack,Firefox,642793
P5,Group name field doesn't use all horizontal space available,Firefox,642891
P5,favicon is misplaced when resizing a stacked group,Firefox,644097
P2,save image as - save as doesn't work,Firefox,645332
P2,sdfsdf,Firefox,645536
P1,400 Bad request,Firefox,646196
P4,"A ""ghost tab"" appears inside a Tab Group",Firefox,643392
P4,Tab Groups migrating above the top of the window when panorama is closed,Firefox,644724
P3,Part of the undo close group button doesn't response to click,Firefox,645964
P2,Crash when restoring previous session after closing all tab groups in panorama view,Firefox,645461
P4,"Intermittent browser_tabview_bug626791.js | drag-to-create-group: panorama button should be in the toolbar - Didn't expect -1, but got it",Firefox,643293
P3,"Intermittent infinite loop of ""ASSERTION: XPConnect is being called on a scope without a 'Components' property!"" in browser/base/content/test/tabview/browser_tabview_privatebrowsing.js winding up with ""command timed out: 5400 seconds elapsed""",Firefox,646862
P4,Intermittent chrome://mochitests/content/browser/browser/base/content/test/tabview/browser_tabview_bug602432.js | Stacked group item update (x) > first item (y),Firefox,644584
P3,Middle-click on reload button to duplicate orphan tabs does not create a group,Firefox,645653
P1,test the contact module,Firefox,647939
P1,css3 transform scale with flash in firefox is a big fail,Firefox,647943
P3,Left/Right keys cause entire Panorama to shift,Firefox,648995
P3,[Meta] Panorama bugs for Fx6,Firefox,653099
P1,Provide opt-in UI for Telemetry,Firefox,652657
P5,[meta] GCLI experiments,Firefox,642229
P4,[meta] GCLI bugs marked as 'future',Firefox,659052
P3,[meta] GCLI should have pop-up help enabled,Firefox,659059
P2,[meta] GCLI should be enabled without help UI,Firefox,659061
P1,[meta] GCLI needs a command registry,Firefox,641903
P4,Error in Profile page,Firefox,659240
P5,error in contact page,Firefox,659246
P4,name field in add contact is taking numeric values,Firefox,663065
P1,Firefox 5 does not warn on Cmd+Q (showQuitWarning / warnOnQuit),Firefox,666940
P1,Mark the active tab in minimized windows as inactive,Firefox,648045
P5,What happened:TypeError:Components.classes['@mozilla.org/extensions/manager;1'] is undefined,Firefox,669590
P1,manish kumar nimesh,Firefox,669832
P1,Address typed in the address/location bar is not being seen. Please find the screenshot of the same,Firefox,670617
P1,password mjooz,Firefox,670859
P1,passward validation issue,Firefox,671541
P1,Firefox 6 beta 2 crashes on start up on Fedora 14 i686,Firefox,672077
P1,GO button is in enabled state even if location bar is empty,Firefox,672274
P3,Import option is missing on File menu on windows7,Firefox,672459
P1,firefox is not responding properly,Firefox,673041
P3,"In Express Quote Project Pubmic module Home Page, If Collectioin date is greater than Return date Its not showing any Error message and Navigating to Next Page.",Firefox,673134
P2,firefox-bin process - High CPU usage on Mac OS X Lion,Firefox,673687
P3,ymail home page does not open properly,Firefox,674001
P2,Create attribute-value editor for HTML inspector,Firefox,575234
P3,Implement responsive UI for Style Editor,Firefox,671350
P1,Style Editor integration,Firefox,583041
P2,Highlighter doesn't handle full page zoom,Firefox,668254
P1,Highlighter should be disabled when navigating to new pages,Firefox,566084
P2,Highlighter is oblivious to DOM changes,Firefox,566085
P1,Style view centered around answering common CSS questions,Firefox,582596
P1,Style inspector should be controllable from the highlighter,Firefox,663831
P2,Remove category view from style inspector,Firefox,672743
P1,Style inspector UI refresh,Firefox,672748
P2,Inspector highlight doesn't handle reflows correctly,Firefox,566092
P2,Shared knowledge of selected node in highlighter and web console,Firefox,653531
P2,[highlighter] Bounding boxes update are slow while the page is scrolling.,Firefox,665907
P1,"Move HTML panel to a docked ""panel"" in the main browser window (highlighter)",Firefox,672002
P2,Style Inspector should be docked on the right of the content area when launched from highlighter,Firefox,672806
P1,[highlighter] Add a floating toolbar next to the selected node,Firefox,663833
P1,[highlighter] Improve the keybindings,Firefox,669658
P1,[highlighter] Nodes should be selectable from the HTML tree,Firefox,671689
P3,"[highlighter] Toggleable classes in the selected node's ""infobar""",Firefox,672003
P2,The inspector style panel should link to the CSS editor,Firefox,585563
P1,[highlighter] create a global toolbar for the highlighter,Firefox,666650
P2,"Agents Module,Payments paid by customer is incorrect on cofirmation page .",Firefox,674560
P4,Navigating to 'Group Your Tabs' and return back to the browser view is opening a new tab,Firefox,675146
P2,Find a better place for the Layout View,Firefox,674887
P1,"Implement a ""DeveloperDock"" to host the developers tools",Firefox,674476
P3,Firefox-5.0 build on AIX failure,Firefox,675597
P2,[meta] GCLI should allow display of Javascript completion,Firefox,675923
P1,dcamp needs to spawn a new process,Firefox,676260
P3,Firefox problem on opening powerlink.emc.com section Open Request,Firefox,678143
P1,style inspector is not showing the correct selected rule,Firefox,680111
P2,Style inspector specificity calculator makes mistakes,Firefox,592743
P2,GCLI should have l10n functions to help localize both in the browser and in firefox,Firefox,653119
P2,The GCLI popup menu should be accessible in addition to the main command line,Firefox,661172
P3,Source Editor does not give visual indication of read-only mode,Firefox,680376
P3,Source Editor should implement placeholderText differently,Firefox,680371
P1,Move inspector.js into a jsm,Firefox,562168
P1,Disable HTML panel and make it use registerTools API,Firefox,650794
P1,[highlighter] Selecting a Node should update the Highlighter's main toolbar with a breadcrumb display,Firefox,672006
P1,Highlighter should be useable via keyboard.,Firefox,672902
P2,[highlighter] there is something wrong with iframes,Firefox,674871
P2,Make the Highlighter Toolbar look like faaborg's design on OS X,Firefox,676253
P2,Make the Highlighter Toolbar look like shorlander's design on Windows (Aero and XP),Firefox,676255
P1,Context menu item for Highlight Element (highlighter),Firefox,587134
P3,Provide popup menu for the breadcrumbs toolbar in the highlighter to allow direct access to sibling nodes,Firefox,680977
P1,login window>login,Firefox,681881
P4,Unable to log-out my e-mail Yahoo Crash.,Firefox,682494
P2,The style inspector should not redraw the whole UI every time it is used,Firefox,674856
P1,Augment RegisterTools API in Highlighter to deregister tools,Firefox,681653
P1,"Add an ""Only user styles"" checkbox to the style inspector",Firefox,672746
P1,Style Inspector is counting some unmatched rules incorrectly,Firefox,683672
P3,Add search filter to style inspector,Firefox,672744
P1,"when user visit vehicles categories ,select button is disabled",Firefox,685296
P1,aaaaaaaaa,Firefox,685850
P3,links not working,Firefox,687325
P1,valid contact number is connecting with wrong number each time user dials through phone,Firefox,687550
P2,Skin the Style Editor according to shorlander's mockups,Firefox,687702
P1,History button is not working properly in mozilla,Firefox,688376
P2,"Pages don't load, links don't work, feedback doesn't work",Firefox,679265
P1,hdgjsdf,Firefox,688964
P1,restore previous session will log in to previous session,Firefox,689127
P2,"[meta] GCLI should be ready to be shipped, preffed on",Firefox,689605
P3,Hanging problem!!!,Firefox,691055
P4,Wrong Alert Message on entering non-registered email address.,Firefox,692048
P1,Add What's New page to the Firefox Update Experience,Firefox,689679
P5,bug2,Firefox,693559
P1,Test case run away.,Firefox,693683
P1,GCLI needs an 'inspect' command,Firefox,683506
P1,GCLI popup dialogs sometimes have scrollbars,Firefox,692742
P1,GCLI should make the same JS security checks as JSTerm,Firefox,694932
P1,while closing the window i'm getting pop up window,Firefox,695315
P5,11244,Firefox,695992
P1,Another Orion upstream update,Firefox,697407
P2,"Style inspector expandos (treetwisties) should be styled for XP, OSX & Ubuntu 11.x",Firefox,697399
P2,Style inspector property names & values should be tabulated using a table,Firefox,697398
P2,browser_styleinspector_webconsole.js sometimes fails with instance stylePanels[1] is hidden,Firefox,697109
P2,The Script Debugger onNewScript notifications don't always fire,Firefox,697040
P2,automatically open the inspector sidebar on inspect if previously-active,Firefox,696755
P4,Experiment with a popup UI for the GCLI along the lines of launchers (Quicksilver etc),Firefox,658756
P1,Regression: Processing.js Performance Tests don't work,Firefox,696288
P2,CSS rule view should support media queries,Firefox,696182
P1,Properties disabled in the css rule view should not be lost,Firefox,696181
P2,Add support for inherited properties to the rule view.,Firefox,696180
P3,Write a test for the CssLogic specificity calculator,Firefox,696166
P3,"Create better test for HTML Panel in Highlighter, replace browser_inspector_treePanel_output.js",Firefox,696156
P3,"[highlighter] Attach the InspectorUI instance when notifying ""highlighter-ready""",Firefox,696139
P2,HTML attribute editor in highlighter conflicts with new keyboard controls,Firefox,696107
P2,[markup panel] Make the HTML Tree Panel pretty,Firefox,696015
P1,Create sidebar for Highlighter tools,Firefox,695440
P2,Scratchpad should work under e10s,Firefox,695047
P2,[GTK/X11] selecting text in scratchpad doesn't place it on the X primary selection,Firefox,695032
P2,[GTK/X11] middle clicking in scratchpad should paste the X primary selection,Firefox,695035
P2,Scratchpad encoding on save,Firefox,694967
P3,[highlighter] [infobar] limit the size of the infobar,Firefox,694958
P1,Scratchpad paste via menu not working,Firefox,694767
P2,"TEST-UNEXPECTED-FAIL | chrome://mochitests/content/browser/browser/devtools/shared/test/browser_templater_basic.js | asyncLoopElement later - Got , expected 123",Firefox,694120
P1,Implement a rule-centric style view,Firefox,693887
P1,Make the Style Inspector UI faster,Firefox,692543
P3,"[highlighter] transitions should be disabled only while scrolling, not when the node is locked",Firefox,692466
P2,Pressing Escape 'Esc' should close developer 'Inspect' mode.,Firefox,691884
P2,"JavaScript strict warning: resource:///modules/HUDService.jsm, line 5012: reference to undefined property this.lastInputValue",Firefox,691478
P2,The command line background graphic should be moved to the devtools directory,Firefox,691419
P2,Style Inspector MDN help links fail to lead to MDN articles for some properties,Firefox,691306
P3,Evaluating declarations in Scratchpad makes it oddly unresponsive,Firefox,690569
P2,"ScratchPad should display exceptions as a comment, just as it does for results",Firefox,690552
P2,Docked HTML panel in the highlighter should remember its height,Firefox,689946
P2,Infobar disappears when node fills top and bottom of screen during page zoom in highlighter,Firefox,689939
P2,Integrate Tilt with existing Firefox developer tools,Firefox,689920
P2,Style Inspector needs a no-results placeholder,Firefox,689759
P2,All devtools strings files should contain an 'optional English' note.,Firefox,689685
P2,Horizontal scrolling in Orion with very long lines is slow,Firefox,687861
P2,Line insertion in Orion with very long lines is slow,Firefox,687865
P3,Integrate Style Editor's quick value conversions,Firefox,687708
P2,Integrate Style Editor's automatic transitions,Firefox,687698
P2,Orion doesn't support drag and drop,Firefox,687580
P2,Orion source editor should have built-in context menu,Firefox,684445
P2,[Layout] Implement an abstract view of the layout of the selected node,Firefox,683954
P2,[highlighter] move the close button to the toolbar,Firefox,683873
P3,Source Editor should automatically set up Undo/Redo key bindings,Firefox,683172
P2,Source Editor syntax highlighting for CSS is a bit confusing,Firefox,680465
P2,scratchpad doesn't display the value false,Firefox,679467
P1,Line numbers don't line up to lines in orion,Firefox,679088
P2,[Mac] The Web Console Window freezes when drag and drop the parent tab to create a new window,Firefox,675927
P1,Make the Web Console async,Firefox,673148
P3,Style Editor should be able to save to file,Firefox,673127
P3,Style Editor should be able to import a file as a new style sheet,Firefox,673129
P3,In scratchpad: Warning: Use of getAttributeNode() is deprecated. Use getAttribute() instead.,Firefox,669400
P2,[highlighter] Support transformed elements (CSS3 transform),Firefox,663852
P2,Land the debugger in m-c,Firefox,697762
P1,Highlighter sidebar resizes to follow the highlighter box,Firefox,699636
P1,[highlighter] highlighter closes during iframe requests,Firefox,699308
P1,Put the style inspector into a xul document.,Firefox,700036
P1,Remove unmatched rules from style inspector,Firefox,698762
P1,3gp files do not start downloading,Firefox,700658
P1,Firefox freezes and crash.,Firefox,700909
P2,Style Inspector's Rule View can't scroll vertically,Firefox,700770
P1,Clicking on a command in the top level GCLI menu does not work,Firefox,700616
P2,GCLI localization for fieldSelectionSelect could be better,Firefox,694542
P1,GCLI creates nodes in the wrong namespace,Firefox,697140
P1,"fieldSelectionSelect in gcli.properties should use … instead of ""...""",Firefox,699001
P3,GCLI should have tests for sub-sub-commands,Firefox,663081
P1,GCLI build should use the latest dryice build,Firefox,701664
P1,All built-in GCLI commands should be documented for security review,Firefox,664693
P2,DOMTemplate is relatively slow when evaluating JS ${},Firefox,702642
P2,Print Error,Firefox,703118
P4,Firefox 8.0 Null Pointer Dereference PoC,Firefox,703560
P4,application is not working properly,Firefox,703866
P2,Tilt should have the same selected nodes on initialization as Inspector,Firefox,703907
P3,Javascript Error on Closing Tabs,Firefox,704057
P2,styles added in data urls are displayed badly in the rule view,Firefox,704223
P5,kkkkk,Firefox,704825
P1,login page not displayed,Firefox,705525
P2,Inspector panels should stay open across reloads,Firefox,705947
P2,Pressing enter with autocomplete open should send only what I've typed,Firefox,705843
P1,Options -> Advanced -> Network -> Offline Storage confusing: Clear Now button only affects disk cache,Firefox,538588
P3,The Scratchpad editor's undo/redo state is preserved across file loads,Firefox,684546
P2,Ability to set breakpoints in the Source Editor (orion),Firefox,707987
P1,New Safari migrator (OS X & Windows),Firefox,710259
P1,Desktop items not showing after upgrade from 4.0.1 to 8.0.1,Firefox,710555
P1,not clickable,Firefox,711345
P5,"In Firefox 9.0.1 , i encountered a Bug about Group Your Tab's Button ,it does not work",Firefox,713330
P1,contact bar,Firefox,713335
P4,unable to open firefox,Firefox,714585
P2,"Keyboard shortcuts (ESC, RETURN) no longer work if the content area loses focus.",Firefox,713676
P2,CSS cut short in Style Editor,Firefox,713359
P1,Convert nsProfileMigrator to JS so we can use JS modules on migration,Firefox,715099
P5,Fix the script debugger to work in e10s mode,Firefox,689875
P2,Ability to lock in a pseudo class in the page inspector,Firefox,707740
P1,Place the web console in its own iframe,Firefox,688981
P1,GCLI needs an 'edit' command (for CSS only to start with),Firefox,683499
P2,Inspector Rule View selectors can be more visually scannable,Firefox,712469
P3,[highlighter] Can highlight but not inspect in a new JavaScript-created window,Firefox,713790
P2,add closing curly bracket to avoid disrupting the rest of the CSS,Firefox,713612
P1,"JavaScript evaluation ""permission denied"" after navigation to a different domain",Firefox,664688
P3,can't select line by clicking the line number in scratchpad,Firefox,712982
P3,[Linux] the redo command should also have the ctrl-y shortcut,Firefox,714832
P2,Intermittent browser_webconsole_completion.js | an unexpected uncaught JS exception reported through window.onerror - this._panel is null at resource:///modules/AutocompletePopup.jsm:215,Firefox,707342
P3,Firebug should be able to suppress web console prompted by scratchpad,Firefox,692795
P2,Add support for stepping to the debugger,Firefox,711164
P3,Use the style editor's AdaptiveSplitView in the debugger UI,Firefox,687095
P2,Put dump() calls in debugger code behind a pref,Firefox,709088
P2,Make the debugger client's setBreakpoint pause the debuggee automatically,Firefox,711125
P2,Implement the debugger pause request (at the main loop),Firefox,690771
P2,Add a pretty resizer and the dark theme to the debugger,Firefox,692409
P2,Clicking on a stack frame in the debugger should put the caret in the proper source line,Firefox,687093
P2,Optimize and refactor the debugger frontend to use constructors instead of attached functions to DOM nodes,Firefox,707302
P2,The debugger refreshes the editor contents on every pause,Firefox,706506
P3,[meta] Implement a script debugger,Firefox,676586
P1,Don't allow the debugger to be open in more than one window,Firefox,710258
P3,Unify dbg-server.js and dbg-server.jsm,Firefox,703718
P2,Script debugger picks the wrong highlighting engine in URLs with a query string,Firefox,690419
P2,Simplify the script name in the script debugger,Firefox,690404
P2,Style Inspector doesn't take into account chrome:// stylesheets,Firefox,705707
P2,gcli.css uses both box-sizing and -moz-box-sizing,Firefox,711368
P2,GCLI needs a 'resource' type,Firefox,709223
P3,GCLI should be more visually appealing in Firefox,Firefox,678152
P2,GCLI should be built with the latest version of dryice,Firefox,715501
P2,GCLI needs a screenshot command,Firefox,709460
P2,GCLI should have a jump-to-scratchpad feature,Firefox,706230
P2,GCLI console command needs better tests,Firefox,715530
P2,Ensure jstermhelpers work in JS mode in GCLI,Firefox,693269
P3,web console and GCLI should just use 'monospace' rather than hard coding font names,Firefox,706047
P2,GCLI's inspect command should use an overlay rather than direct node manipulation,Firefox,697043
P2,GCLI 'console clear' doesn't clear everything in the console,Firefox,704918
P3,GCLI doesn't always fill in default parameters properly,Firefox,707009
P2,GCLI needs a 'cookie' command,Firefox,683511
P3,GCLI increment and decrement operations cycle through selection options in the wrong order,Firefox,707007
P2,GCLI console close command needs unit tests,Firefox,712241
P3,GCLI help crasher workaround should be fixed properly,Firefox,716529
P1,Remove the textarea fallback from the Source Editor,Firefox,717373
P2,GCLI lacks status indicators for lines,Firefox,717770
P4,Experiment with a jQuery command for GCLI,Firefox,665545
P4,mini-require / require.jsm in GCLI hangs firefox for recursive 'requires',Firefox,658583
P3,GCLI javascript completion should respond to UP and DOWN arrows,Firefox,717424
P2,GCLI: typing in a for loop causes an exception,Firefox,717622
P2,GCLI: automatically added '}' is not displayed in this one place,Firefox,717596
P2,GCLI: Cannot copy a Exception result from Log,Firefox,717893
P2,GCLI 'echo <b>hi</b>' doesn't escape on the web version,Firefox,704834
P2,GCLI should work with '{ document.documentElement.innerHTML' as input,Firefox,698895
P2,GCLI's promise should enable progress feedback,Firefox,659300
P2,GCLI needs a window resize command,Firefox,710153
P2,GCLI should not allow boolean parameters to be positional,Firefox,671837
P2,GCLI needs commands to control the debugger,Firefox,683503
P2,Web Console is closing lazily with GCLI,Firefox,717618
P2,GCLI needs a way to display single line output when there is no output area,Firefox,671311
P2,Potential memory leaks with pprint (when used from GCLI only?),Firefox,717892
P2,GCLI needs a 'pref' command,Firefox,693259
P2,Experiment with better UI presentation methods in GCLI,Firefox,642241
P2,Re-license GCLI to a more liberal license,Firefox,659686
P4,Work out how GCLI can work with TermKit if that's possible,Firefox,659292
P4,dom.importCssString in GCLI util should check to see that the CSS isn't already there,Firefox,689535
P4,GCLI Completer could be simplified if repeated spans are not a performance issue,Firefox,707131
P4,GCLI defered types don't work properly,Firefox,707008
P4,GCLI should expose git hash of the export to moz source,Firefox,704955
P2,GCLI should provide test files to firefox without concatenating them,Firefox,707492
P2,2 part named parameters are not filled in correctly when edited by the GCLI popup menu,Firefox,684692
P3,GCLI gives FOUC when console is first opened,Firefox,694534
P3,GCLI needs a 'doctor' command,Firefox,683509
P3,GCLI should use Object.defineProperty rather than getX() to help template engine avoid allowEval,Firefox,706478
P3,up/down should be reserved for history and shift up/down for increment/decrement in GCLI,Firefox,671848
P3,GCLI Requisition._onAssignmentChange could be simplified,Firefox,660765
P5,GCLI's keyboard handling should be updated to use DOM-L3 keyboard events,Firefox,664991
P3,GCLI should split theme and content CSS,Firefox,704782
P3,GCLI CSS needs some minor tweaks,Firefox,704919
P3,GCLI needs a tests to check that a command without mandatory param causes ERROR,Firefox,664203
P3,"on pressing return with an invalid input, GCLI should select the incorrect input for an easy fix",Firefox,664135
P3,GCLI needs a 'stylizer' command,Firefox,683502
P3,GCLI needs a command to control addons,Firefox,710159
P2,If the web console is too small the GCLI help section is not visible,Firefox,717972
P1,"[Linux] ""Warning: package error or possible missing or unnecessary file: bin/libmozglue.so (package-manifest, 34).""",Firefox,716397
P1,"""Warning: package error or possible missing or unnecessary file: bin/components/proxyObject.xpt (package-manifest, 151).""",Firefox,717491
P1,Stop trying to package MSVC DLLs in debug Windows Firefox,Firefox,652297
P2,"WebConsole doesn't show the ""warning"" icons on warning and errors",Firefox,718431
P3,"When the Web Console is in a separate window, Ctrl+W/Cmd+W should close it",Firefox,659775
P2,JavaScript implementation of WebGL MOZ_dom_element_texture extension,Firefox,653658
P3,Add a library for parsing and consuming source map files to Firefox,Firefox,669999
P2,Rule view should maintain user entered values,Firefox,707940
P3,Create Help menu for Scratchpad,Firefox,650760
P2,Improve developer tool fonts and general styles,Firefox,716516
P3,Allow user to increase Web Console font size,Firefox,704204
P4,"HUDService: ""Context"" means various things",Firefox,576224
P2,HTML Element isn't highlighted if element text starting on next line is selected,Firefox,705314
P2,Cannot edit the text part of a HTML element in the inspector,Firefox,705323
P3,Style Editor does not highlight a few CSS2.0 and CSS3 properties,Firefox,719028
P2,The output of console.log(object) isn't expandable/inspectable in the Web Console,Firefox,676722
P1,Entering document.body.innerHTML into the Web Console (GCLI) fails and throws exception,Firefox,718857
P2,`console.log({foo:bar})` outputs nothing in GCLI console,Firefox,719293
P2,asd,Firefox,719368
P2,Digits-only file names get .css prefixed in front of postfixed,Firefox,719022
P3,GCLI doorhanger eats mouse click,Firefox,717757
P2,Can't close Style Editor with cmd+w,Firefox,720431
P2,Quick rule view ... quick layout fix until we have mockups,Firefox,720980
P3,GCLI types should have default values,Firefox,720971
P3,Highlight matching text in GCLI menus with commands/selections,Firefox,720689
P2,"Add a ""DOM/JS Object inspector"" view as a Node Tool.",Firefox,719867
P3,[markup panel] The HTML Tree should have its own keybindings,Firefox,719845
P3,GCLI: content of web console jumps around horizontally,Firefox,718729
P1,Scheme-less URLs references in the style sheet are lost when editing,Firefox,719552
P2,Error: hud.jsterm is null in resource:///modules/HUDService.jsm:2074,Firefox,719292
P1,Selection in Scratchpad behaves strangely if selecting into the gutter,Firefox,717631
P2,Style Editor should have an Edit menu,Firefox,715306
P2,Intermittent TEST-UNEXPECTED-FAIL | browser/devtools/styleeditor/test/browser_styleeditor_new.js | Test timed out,Firefox,703758
P2,"Intermittent failure in browser_webconsole_bug_595934_message_categories.js | test #5: error category 'malformed-xml' - Got XPConnect JavaScript, expected malformed-xml",Firefox,661813
P2,Intermittent browser_inspector_iframeTest.js | Test timed out followed by other failures,Firefox,654826
P2,unable to remove HTML properties using the inspector,Firefox,714444
P2,Intermittent browser_webconsole_netlogging.js | Test timed out (sometimes followed by Response is correct - Got <!DOCTYPE HTML>),Firefox,648813
P3,Intermittent browser_webconsole_network_panel.js | Test timed out,Firefox,627462
P3,Intermittent browser_webconsole_bug_603750_websocket.js | Test timed out followed by 2969 others,Firefox,628458
P3,Intermittent browser_webconsole_bug_601177_log_levels.js | Test timed out,Firefox,629282
P3,Intermittent browser_webconsole_bug_588342_document_focus.js | Test timed out,Firefox,658899
P3,intermittent timeout of browser_webconsole_bug_598357_jsterm_output.js | Test timed out followed by browser_webconsole_storage_record_many_entries.js | Test timed out,Firefox,662775
P2,Intermittent browser_scratchpad_bug_699130_edit_ui_updates.js | Test timed out,Firefox,703840
P3,Intermittent browser_sourceeditor_initialization.js | Test timed out followed by | Found a  after previous test timed out,Firefox,708371
P2,Intermittent browser_webconsole_bug_585991_autocomplete_popup.js | an unexpected uncaught JS exception reported through window.onerror - this._panel is null at resource:///modules/AutocompletePopup.jsm:215,Firefox,712033
P4,"console.group(""aTitle"") UI should not overlap  other messages in the console",Firefox,713197
P2,be able to copy from the rules view,Firefox,703643
P2,"scratchpad (orion): ctrl-v, Edit/Paste, Right Menu Paste all do not paste",Firefox,701347
P3,Dev console is always on top during windowed mode,Firefox,702708
P2,"[Firefox] ""Warning: package error or possible missing or unnecessary file: bin/components/chardet.xpt""",Firefox,721535
P1,Rule view not showing media query information,Firefox,722196
P3,Keyboard Shortcuts to toggle Inspector Rule View and HTML View Should Appear on Tooltips,Firefox,721593
P3,GCLI will work with node 0.4.9 but package.json claims 0.5.0 minimum,Firefox,722666
P2,ConsoleAPIStorage uses global Private Browsing status to make decisions,Firefox,722976
P3,Implement Long String grip actor message handling,Firefox,694539
P1,'{' command should be hidden so GCLI looks more like a command line not a REPL,Firefox,723120
P3,Source Editor: add support for the focus/blur events,Firefox,703692
P3,Add autocomplete for JavaScript in Scratchpad,Firefox,717366
P3,Expose Orion's getLineStart/getLineEnd in SourceEditor,Firefox,719453
P3,Refactor: GCLI inputter has getCurrentAssignment and assignmentChange,Firefox,723147
P3,GCLI should use node to serve files rather than python/static.py,Firefox,723423
P2,GCLI resource type should be customized for mozilla,Firefox,723889
P3,Add a way to help figure out what CSP is doing (CSP violation errors only appear in the error console),Firefox,712859
P2,intermittent browser/devtools/debugger/test/browser_dbg_propertyview-08.js | Test timed out,Firefox,725249
P1,Debug protocol chokes on unicode,Firefox,726152
P1,"Intermittent browser_dbg_script-switching.js | (Possible uncaught JS exception) | Test timed out, | Found a tab after previous test timed out, | the destruction of lots more tests",Firefox,726249
P2,"Intermittent browser_dbg_select-line.js | The correct line is selected. - Got 0, expected 5 OR | The correct script was loaded initially.",Firefox,726609
P1,[meta] GCLI improvements for FF13 part 1,Firefox,724819
P2,Rule view indicate when invalid values are entered,Firefox,727867
P3,Firefox keeps locking up or telling me the page is all ready running when it isn;t,Firefox,727913
P2,String change in styleinspector.properties whitout changing name,Firefox,728833
P2,browser_dbg_debuggerstatement.html leaked during mochitest-browser-chrome,Firefox,728606
P3,Firefox 3.6.26 3.6.27 and  10.02 flash player video playback problem,Firefox,730702
P1,730249,Firefox,730779
P2,Properties in the debugger aren't always displayed correctly,Firefox,731281
P1,684974,Firefox,731737
P1,login id,Firefox,731921
P2,"Intermittent browser_dbg_update-editor-mode.js | Found the expected editor mode. - Got js, expected html | The correct script was loaded initially. | The first script is displayed. | Test timed out",Firefox,728830
P3,Intermittent failure in browser_dbg_script-switching.js | The correct script was loaded initially. | The first script is displayed.,Firefox,728926
P3,"Intermittent browser_dbg_debuggerstatement.js | Test timed out, | Found a tab after previous test timed out",Firefox,729225
P2,Add a context menu to the debugger source view,Firefox,730061
P3,"Add parser support to the debugger for lookup of references to function names, variables, etc",Firefox,732442
P2,"Need an ""Empty Stack"" placeholder in the script debugger",Firefox,732451
P3,Debugger should have a key command to popup script selection,Firefox,732456
P2,"Warning in debugger.xul: XUL box for span element contained an inline #text child, forcing all its children to be wrapped in a block",Firefox,722317
P2,Altering element properties in Inspector on a certain web page consistently hangs Firefox (Addon problem),Firefox,732838
P2,Opening the Style Inspector right pane changes page rendering of websites using resolution-aware styles,Firefox,723318
P2,Split style inspector CSS between content & document CSS,Firefox,705276
P2,Highlight changed items in the rule view,Firefox,733747
P3,Tilt should support inspecting giant webpages,Firefox,710565
P1,Source Editor stepping support,Firefox,731721
P2,Clicking a system stylesheet in the style inspector does not open the source,Firefox,734259
P2,Unwrapped getBoolPref call causes dbg-server.jsm to fail to load in B2G,Firefox,734314
P1,a spoof site crashed firefox 3.5.4 and now getting crash reports in other areas of Linux including kernel and many more.,Firefox,734564
P1,Style Editor should highlight with color the actual css filename,Firefox,734665
P2,Style Panel better visual enhancements - display,Firefox,734672
P1,highlighter is slower when inspecting elements,Firefox,734906
P2,"Add an ""Option"" menu in the Inspector Toolbar",Firefox,724509
P1,Refactor creation of registered sidebar tools iframes in InspectorUI,Firefox,707809
P1,Add an Inspect button and a node menu to the infobar,Firefox,717916
P3,"In the PageInspector toolbar, move the HTML Tree button in front of the breadcrumbs display",Firefox,717922
P1,Add a pseudo-class lock menu to the infobar node menu,Firefox,733612
P3,Inspect element fore color on high contrast settings,Firefox,714238
P2,Use findScripts to retrieve the list of scripts known to the debugger,Firefox,723563
