Priority,Short Description
P3,An error occurred (assert:null node) while attempting to middle-click on an empty area in the Bookmarks Toolbar.
P3,"When clicking on empty space in the Bookmarks Toolbar using a middle-click, an error is thrown indicating a failed assertion (assert:null node)."
P3,The use of the moz_places_visitcount index is problematic in certain profiles.
P3,The moz_places_visitcount index is problematic for certain profiles.
P4,The icon displaying a folder in place of the one representing an RSS feed.
P4,The folder symbol instead of the rss symbol.
P4,Use a folder symbol rather than an rss symbol.
P4,"Instead of using an rss icon, use a folder icon."
P4,"Instead of the RSS icon, use a folder icon."
P4,The symbol for a folder in place of the rss symbol
P3,"Initially executing the process of transferring or importing data from Internet Explorer, Opera, and Safari browsers may be sluggish, thus employing a ""run in batch"" approach is recommended for the migration."
P3,"Initially, carrying out the migration or import process from Internet Explorer, Opera, and Safari may take some time. It is recommended to implement ""run in batch"" in order to make the migration more efficient."
P3,Livemark experiences a large amount of notifications when the feed is unable to load.
P3,"When the feed does not load, it triggers numerous messages to appear in the livemark."
P4,"As of 2007082304, the buttons in the tagging and bookmarking user interface are too slim. Their sizes for Delete, Done, low, and height are not properly aligned, causing inaccuracies in the text alignment."
P4,"As of 2007082304, the buttons in the tagging and bookmarking user interface are excessively slender and incorrectly aligned, leading to issues with the Delete, Done, low, and height options, as well as the proper alignment of text."
P4,"As of 2007082304, the buttons in the tagging and bookmarking user interface are overly slim. This includes the Delete, Done, and low-height buttons, which are currently misaligned and inaccurately aligned with the associated text."
P4,"As of 2007082304, the buttons found in the tagging and bookmarking interface are overly slim. This includes the Delete, Done, and low buttons which have been incorrectly aligned and do not have the appropriate height. Furthermore, the text on these buttons may also be improperly aligned."
P4,"As of 2007082304, the buttons in the tagging and bookmarking interface are excessively slim. The options for Delete, Done, and Low are not properly aligned in terms of their height and text placement."
P4,"The buttons in the tag and bookmark interface are currently too slim, as of 2007082304. (Remove, Complete, small, vertical size; improperly; wording; positioned; positioning)"
P3,The toolbar resizer can be seen in popups when the location bar is the only visible element.
P3,"The toolbar resizer can now be seen in popups, as long as the location bar is also visible."
P3,'Arrange the searchbar divider in an aesthetically pleasing manner'
P3,"""Enhance the appearance of the search bar splitter in a graceful manner."""
P4,"The list of tags is not kept up to date if tags are manually added, renamed, or removed directly in the tags field."
P4,"The tag list does not get updated if tags are manually added, renamed, or deleted from the tags field."
P4,"The tag list will not be refreshed if tags are manually added, renamed, or deleted from the tags field."
P4,"The tag list does not get refreshed if tags are manually inserted, modified, or removed using the tags section."
P4,"The tag list does not get refreshed if tags are edited, renamed, or removed manually from the tags section."
P4,"The tag list does not get refreshed if tags are added, renamed, or removed manually in the tags field."
P4,"When you use the ""File"" and ""Open File"" commands, it will only open a file that is located in the Firefox installation folder."
P4,The 'File' option in the menu requires selecting a file from the Firefox installation folder to be opened.
P4,"'When using File, Open File, it consistently opens a file from the Firefox installation folder.'"
P4,"The 'File, Open File' feature is determined to open a file within the main directory of Firefox's installation."
P4,"The function of File, Open File requires that a file be opened from the designated directory for Firefox."
P4,"The ""Open File"" function requires that the file chosen be located in the Firefox program folder."
P4,Removing the site directory from the bookmarks sidebar results in scrolling back to the beginning.
P4,Removing the site folder from the bookmarks sidebar results in scrolling back to the beginning.
P4,Removing the site directory from the bookmarks sidebar results in scrolling back to the beginning.
P4,Removing a site folder from the bookmarks sidebar results in the page scrolling back to the top.
P4,Removing the website directory from the bookmarks sidebar results in scrolling back to the beginning of the page.
P4,Removing the website directory from the bookmarks panel results in the page being scrolled back to the beginning.
P4,Tool tips are absent from the buttons on the Bookmarks Manager.
P4,Tooltips for the Bookmarks Manager buttons are unavailable.
P4,The tooltips for the Bookmarks Manager buttons are not present.
P4,The tooltips for the Bookmarks Manager buttons are absent.
P4,The tooltips for Bookmarks Manager buttons are absent.
P4,Tooltips are absent from the buttons in the Bookmarks Manager.
P3,'Unusual conduct while inputting a URL containing a converted percent character %25'
P3,Unusual action when typing in a URL containing a percent sign %25 that has been encoded.
P3,"Find improved labeling for the ""Locations"" directory and predetermined searches."
P3,"Find alternative terminology for the ""Locations"" directory and predefined searches."
P3,The Places Organizer window does not have accesskeys.
P3,The Places Organizer window lacks accesskeys.
P4,The minefield is unable to load pages once you change your network interface.
P4,"After changing your network interface, Minefield is unable to load any pages."
P4,Page loading is not possible on Minefield once you change your network interface.
P4,Pages cannot be loaded on Minefield when you switch your network interface.
P4,The Minefield program is unable to display pages once switching your network interface.
P4,"After changing your network interface, pages are unable to load in Minefield."
P4,Tags submenus do not remain open in certain locations.
P4,Locations labels dropdown menus do not remain expanded.
P4,The submenus for location tags do not remain expanded.
P4,The submenus of the location tags do not remain open.
P4,Tags submenus in various locations do not remain open.
P4,The submenus for location tags do not remain expanded.
P4,"The folders in the bookmarks menu will not be grouped together before bookmarks when you use the ""Sort by Name"" option."
P4,"After using the ""Sort by Name"" feature, the Bookmarks menu will no longer arrange folders first followed by bookmarks."
P4,"After performing the ""Sort by Name"" feature, the Bookmarks menu will no longer group folders before bookmarks."
P4,"After implementing the ""Sort by Name"" feature, the Bookmarks menu will no longer arrange folders separately from bookmarks."
P4,"After using the ""Sort by Name"" function, the Bookmarks menu will not group folders before bookmarks anymore."
P4,"The folders in the bookmarks menu will not be organized separately from the bookmarks when the ""Sort by Name"" function is used."
P3,'Favicons are enlarged and visible in the autocomplete feature for open locations and the homepage on the user interface.'
P3,"'Favicons are visible in their entire size, both in the autocomplete function for open locations and the homepage for autocomplete in the preferred user interface.'"
P3,The default folder favicon replaces the livebookmark folder favicon.
P3,The default folder favicon replaces the livebookmark folder favicon.
P4,"The folders for Livemarks in Firefox 3 do not display any modifications when open, even though they are programmed to do so."
P4,"Despite being coded to do so, Livemarks folders in fx3 do not display any modifications when opened."
P4,"The Livemarks folders in Firefox version 3 do not display any modifications when they are opened, even though programming has been done to enable it."
P4,No modifications are visible in fx3's Livemarks directories even though it was programmed to do so.
P4,"The folders for Livemarks in Firefox 3 do not display any updates when accessed, even though they were programmed to do so."
P4,"Despite being coded for, Livemarks folders in fx3 do not display any modifications when opened."
P4,Fake directories displayed in save-bookmark/star holder
P4,False directories displayed in the save-bookmark/star hanger.
P4,Fake directories displayed in bookmark/star holder.
P4,Fake directories displayed in bookmark organizer.
P4,Fake directories displayed in bookmark organizer/favorites bar.
P4,Fake folders displayed in bookmark organizer or favorites bar.
P4,It is currently not feasible to submit a report for a mistakenly identified phishing website.
P4,It is no longer feasible to report a mistakenly identified phishing website.
P4,It is not currently feasible to disclose a falsely identified phishing website.
P4,It is now impossible to report a phishing site that has been incorrectly labeled.
P4,It is no longer feasible to report a phishing site that has been incorrectly identified.
P4,It is now no longer feasible to submit a falsely categorized phishing site.
P4,"s window

Selecting the ""Tell me more about this website"" link from Larry's page will open the Page Info dialog, without closing his window."
P4,"s ""Tell me more about"
P4,"When Larry's ""Tell me more about this website"" link is clicked, it opens the Page Info dialog but does not exit Larry's page."
P4,"When you click on Larry's link that says ""Learn more about this website,"" it will open the Page Info dialog, but it will not close Larry."
P4,"s ""Tell me more about this website""

When the link ""Tell me more about this website"" is clicked, the Page Info dialog will open, but it will not close Larry's link."
P4,"Selecting the ""Tell me more about this website"" link from Larry's page initiates the Page Info dialog, but it does not exit Larry's page."
P3,The initial use of the Cmd+D command does not direct the focus to the Add-bookmark panel.
P3,The bookmark panel fails to receive focus when I initially press Cmd+D.
P3,Firefox mistakenly identifies Gecko as ™®.
P3,Firefox erroneously shows Gecko as ™®.
P4,The Firefox window is insufficiently large following the minimization and restoration of Firefox.
P4,The size of the Firefox window is too small when Firefox is maximized after being minimized.
P4,"The size of the Firefox window is too small, following the action of minimizing and exiting Firefox."
P4,The size of the Firefox window is insufficient once the minimized version of Firefox has been closed.
P4,The size of the Firefox window appears insufficient once Firefox has been restored from a minimized state.
P4,The size of the Firefox window is inadequate after closing the minimized Firefox.
P3,The notification on the popup status bar changes to the wrong tab when a tab is closed.
P3,The notification on the status bar switches to an incorrect tab after the tab is closed.
P3,The content preference database utilizes a full table scan when processing the most frequently used query.
P3,The content preference database performs a complete table scan to obtain the most frequent query.
P3,"Once microsummary is reloaded with a non-UTF-8 charset, the summary becomes disorganized."
P3,"Once the microsummary is reloaded with a non-UTF-8 charset, its summary becomes disorganized."
P5,Enable websites to indicate the lowest interval at which updates should occur.
P5,Permitting websites to indicate the minimum frequency of updates.
P5,Enable websites to designate a minimum update interval.
P5,Permit websites to set the appointed time for minimum updating.
P5,Enable websites to designate the least amount of time between updates.
P5,Sites should have the ability to set a minimum frequency for updates.
P5,Enable websites to indicate the minimum required frequency for updates.
P5,Allow websites to set a minimum frequency for updates.
P5,Enable websites to set a minimum frequency for updates.
P5,Enable websites to determine the lowest rate at which changes can be made.
P5,Enable websites to indicate the lowest frequency at which updates should occur.
P5,'Sites should be able to determine the least frequent time for updates'
P5,Enable websites to set a minimum update schedule.
P5,Enable websites to determine the lowest frequency for updates.
P5,Permit websites to indicate the lowest interval for updates.
P5,Permit websites to indicate the least required rate of updates.
P5,Enable websites to determine the lowest frequency for updates.
P5,Enable websites to designate the least amount of time between updates.
P5,Enable websites to indicate the least required time interval for updates.
P5,Permit websites to define the minimum frequency for updates.
P4,Modify the code to refresh current titles.
P4,Revise the code for the purpose of modernizing live headings.
P4,Rework the code in order to refresh active headings.
P4,Revise the code to refresh current headings.
P4,Revise the code to renew current titles.
P4,Revise the code in order to refresh the current headings.
P4,Include TRANSITION_DOWNLOAD
P4,Include TRANSITION_DOWNLOAD
P4,Include TRANSITION_DOWNLOAD
P4,Include TRANSITION_DOWNLOAD
P4,Incorporate TRANSITION_DOWNLOAD
P4,Include TRANSITION_DOWNLOAD
P4,"The function nsINavHistoryService::addVisit should accept a web address for the referring page, rather than a unique identifier for the location."
P4,"Instead of a place id, the addVisit function of nsINavHistoryService should use a uri as a referrer."
P4,The function nsINavHistoryService::addVisit should accept a URI instead of a place ID as the referrer.
P4,The function nsINavHistoryService::addVisit must accept a URL for the referrer instead of a place identifier.
P4,The function nsINavHistoryService::addVisit should accept a URL for the referring page instead of a location identification.
P4,The function nsINavHistoryService::addVisit should accept a URL as the referrer instead of a place identification number.
P4,The implementation of nsIDownloadHistory should be included in nsNavHistory.
P4,The implementation of nsIDownloadHistory should be included in nsNavHistory.
P4,"One possible revision could be: ""The implementation of nsNavHistory ought to include nsIDownloadHistory."""
P4,The implementation of nsIDownloadHistory should be integrated into nsNavHistory.
P4,The nsNavHistory function ought to incorporate nsIDownloadHistory.
P4,The implementation of nsIDownloadHistory should be carried out by nsNavHistory.
P3,"Delete the phrase ""Displaying __"" in the Bookmarks Organizer."
P3,"Take out the phrase ""Displaying __"" from the Bookmarks Manager."
P4,"Modify the presentation of ""more"" in the preview panel of the bookmarks organization tool to a gradual disclosure feature instead of a button."
P4,"Modify the ""more"" feature in the bookmarks organizer preview section by converting it from a button to a gradual disclosure mechanism."
P4,"Alter the ""more"" feature from a button to a progressive disclosure control in the bookmarks organizer preview pane."
P4,"Modify the ""more"" function in the preview panel of the bookmark organizer to a gradual revealing mechanism instead of a button."
P4,"Modify the ""more"" option in the preview panel of the bookmarks organizer to be a progressive disclosure control instead of a button."
P4,"Modify the ""more"" button in the preview section of the bookmark manager to be a progressive disclosure mechanism."
P4,"When a website has a search engine, the search bar will not display a blue border anymore."
P4,"When a website has a search engine, the search bar is now without a blue border."
P4,The search box does not have a blue boundary anymore when the website is equipped with a search tool.
P4,The blue border around the search bar will disappear if the website has a search engine feature.
P4,The presence of a search engine on a website is no longer indicated by a blue border around the search bar.
P4,The blue border of the search bar is now absent when a search engine is present on the website.
P3,The size of the search bar in the bookmarks manager ought to measure 22 pixels vertically.
P3,The search bar in the bookmark organizer ought to have a height of 22 pixels.
P3,"The text that describes itself within the bookmarks organizer search box ought to read as ""Search Bookmarks""."
P3,"The descriptive text in the search box of the bookmarks organizer should say ""Search Bookmarks""."
P4,The bookmarks organizer's search field should contain a search button within it.
P4,The bookmarks organizer's search field should include a search button within the field.
P4,The search bar within the bookmarks organizer should contain a button for performing searches.
P4,The bookmark manager's search bar should include a designated button for conducting searches within the field.
P4,The bookmarks organizer should contain a search button within the search field.
P4,The search button within the bookmarks organizer's search field is essential.
P3,[meta] Revamp look of bookmark dialog box on Windows XP in Firefox 3.
P3,[Reworking] Design updated contextual dialog for Firefox 3's bookmark feature on XP platform
P4,Change the location bar auto-complete to a two-line display.
P4,Modify the auto-complete function of the location bar to display two lines instead.
P4,Convert the auto-complete feature of the location bar to display in a two line format.
P4,Change the location bar auto-complete to a double-line display.
P4,Adjust the location bar auto-complete to display in a double-line format.
P4,Change the auto-complete function for the location bar to a two line display.
P3,The default toolbar set caused Larry's popup to become displaced.
P3,Larry's pop-up was out of place upon restoring the original toolbar configuration.
P3,The organizer's search function will not retrieve items that have been labeled with tags that consist of multiple words.
P3,The places organizer search function is unable to locate items that have been labeled with tags containing multiple words.
P4,Modify URIHasTag() to accept a string instead of an nsIURI object.
P4,Modify URIHasTag() to accept a string instead of a nsIURI in its parameter.
P4,Modify the function URIHasTag() to accept a string instead of a nsIURI.
P4,Modify URIHasTag() so that it accepts a string instead of an nsIURI object.
P4,Modify URIHasTag() so that it accepts a string instead of an nsIURI.
P4,Modify URIHasTag() to accept a string instead of a nsIURI.
P3,"Reword the ""Organize Bookmarks"" option to a different name."
P3,"Change the name of the menu option labeled ""Organize Bookmarks"""
P4,optimize the caller of getting browser index for the document
P4,An improvement in the function of determining the browser index for a document.
P4,Improving the efficiency of the function 'getBrowserIndexForDocument'
P4,Improvement of the caller's browser index for the document.
P4,Optimization of the caller for obtaining the browser index linked to the document.
P4,Improving efficiency of the function that retrieves the index of the browser for a document.
P4,The icons for actions ought to be properly placed within the Applications preference pane.
P4,The action icons need to be properly arranged in the Applications preference pane.
P4,The icons for actions need to be properly positioned within the Applications preference pane.
P4,The application preference pane should have aligned action icons.
P4,The icons for actions must be arranged appropriately within the Applications preference panel.
P4,The application preference pane should have its action icons properly aligned.
P4,Prevent any shaking when choosing a new item in the Applications settings panel.
P4,"""Prevent jittering when choosing a new item in the Applications preference pane."""
P4,Avoid experiencing irregular movements when choosing a different item in the Applications preference pane.
P4,Minimize any irregular movements when choosing a new item in the Applications Preferences panel.
P4,"""Minimize shaking when choosing a new item in the Applications preferences panel."""
P4,Minimize shaking when choosing a new item in the Applications preferences pane.
P3,The icons within the Applications prefpane come into contact with one another.
P3,The symbols within the Applications prefpane are in close proximity.
P3,"Issues with the ""Application"" type of content found in the Applications preference pane."
P3,"""
The ""Application"" category in the Applications preferences panel is experiencing issues."
P3,The dialog for selecting applications may not be sufficiently broad if there is a lengthy description for the file type.
P3,"If the file type description is lengthy, the application selector dialog may not be sufficiently wide."
P3,"Making the ""Places"" directory (refer to bug #387996) for a preexisting profile with numerous bookmarks is a time-consuming process, resulting in a temporary empty personal toolbar for several seconds."
P3,"Generating the ""Places"" directory (refer to error #387996) for a pre-existing profile containing numerous bookmarks can be a time-consuming process, resulting in a temporary empty personal toolbar for a few seconds."
P5,"The message ""Error: gPrefService is null"" in the file <browser.js> indicates an issue."
P5,"In the <browser.js> file, there is a ""Error: gPrefService is null"" message."
P5,"In the file <browser.js>, the following error occurred: ""ReferenceError: gPrefService is undefined""."
P5,"""In the <browser.js> file, the error message ""gPrefService is null"" is present."""
P5,"In the file <browser.js>, the error message reads ""gPrefService is null""."
P5,"The file <browser.js> reports an error saying that ""gPrefService is null""."
P5,"In the <browser.js> file, the error message ""Error: gPrefService is null"" occurred."
P5,"The code in <browser.js> returns the error message ""gPrefService is not defined."""
P5,"The browser file <browser.js> displays the message ""Error: gPrefService is null."""
P5,"The error message ""Error: gPrefService is null"" was found in the <browser.js> file."
P5,"The error ""gPrefService is null"" appears in the <browser.js> file."
P5,"The message ""Error: gPrefService is null"" is present in <browser.js>."
P5,The contents of <browser.js> states that an error has occurred due to the absence of gPrefService.
P5,"The error ""gPrefService is null"" is present in the <browser.js> file."
P5,"In <browser.js>, the message ""Error: gPrefService is null"" is displayed."
P5,"Within the file <browser.js>, the statement ""Error: gPrefService is null"" appears."
P5,"The statement ""Error: gPrefService is null"" can be found in the file <browser.js>."
P5,"The <browser.js> file shows the message ""Error: gPrefService is null""."
P5,"In <browser.js>, the error message ""Error: gPrefService is null"" is displayed."
P5,"The file <browser.js> displays the error message ""gPrefService is null""."
P4,"With the implementation of updated back and forward navigation, the current location's title remains unchanged."
P4,"With the implementation of new navigation, the title of the current page does not update when navigating backwards or forwards."
P4,"With the implementation of the new back/forward navigation, the current location's title does not update."
P4,The title of the current location does not change with the implementation of the new back/forward navigation feature.
P4,"Utilizing updated back and forward navigation, the designation of present location remains unaltered."
P4,The current location's title does not change when utilizing the new back/forward navigation.
P3,The loading animation for the tab icon is not visible.
P3,The tab symbol's loading animation is absent.
P5,The total number of visits does not calculate accurately when there are folders within a folder.
P5,The tally of visits does not calculate accurately when there are subfolders within a folder.
P5,The visit tally is not accurately calculated when folders are contained within another folder.
P5,The number of visits is not accurately calculated when there are folders within a folder.
P5,The number of visits is not accurately calculated when there are folders within a folder.
P5,The tally of visits is incorrect when folders are present within a folder.
P5,The tally of visits is not accurately calculated when there are subfolders within a larger folder.
P5,The tally of visits does not increase accurately when a folder is included in another folder.
P5,The folder(s) within a folder may not accurately calculate the visit count.
P5,The visit tally is not accurately calculated when there are subfolders within a folder.
P5,The tally of visits is inaccurate when folders are included within another folder.
P5,The folder(s) within a folder can cause incorrect visit count calculations.
P5,The total number of visits does not calculate accurately when there are subfolders within a folder.
P5,The tally of visits is not accurately calculated when there are subfolders within a main folder.
P5,The visit count does not accurately total up when there are additional folders within a folder.
P5,The tally of visits is incorrect when there are subfolders within a main folder.
P5,The counting of visits does not accurately increase when there are subfolders within a folder.
P5,The tally of visits does not accurately increase when there are subfolders included within a folder.
P5,The number of visits is not calculated accurately when there are subfolders within a folder.
P5,The tally of visits may not accurately increase if there are nested folders.
P4,Delete the index maintenance code following the 3.0 release.
P4,Erase the index upkeep code once the 3.0 version is released.
P4,Delete the code for index maintenance once the 3.0 version is released.
P4,"""Eliminate the index maintenance code following the 3.0 release."""
P4,Please delete the index maintenance code following the 3.0 release.
P4,The code for index maintenance should be removed following the 3.0 release.
P3,The Faviconize Tab add-on results in a crash at nsNavHistory::LazyMessage::Init.
P3,The Faviconize Tab extension leads to a disruption at nsNavHistory::LazyMessage::Init.
P4,The website button requires a keyboard shortcut to improve accessibility.
P4,The website button requires a shortcut on the keyboard to enhance accessibility.
P4,The website button should have a designated keyboard shortcut in order to enhance accessibility.
P4,A keyboard shortcut is necessary for website accessibility.
P4,The site button should have a keyboard shortcut to improve accessibility (a11y).
P4,A keyboard shortcut should be created for the site button to enhance accessibility.
P3,ASSERT: QI Node Unsuccessful
P3,VERIFY: QI Node Unsuccessful
P4,A problem with javascript in the progress listener of an extension should not disrupt the usual functioning of tabbed browsing.
P4,A javascript issue occurring in the progress listener of an extension should not disrupt the typical functioning of tabbed browsing.
P4,A potential javascript problem within a progress listener of an extension should not disrupt the regular functioning of tabbed browsing.
P4,A faulty javascript code within the extension's progress listener should not disrupt the standard functioning of tabbed browsing.
P4,A detected error in javascript within a progress listener of an extension should not disrupt the usual functioning of browsing through tabs.
P4,A javascript error occurring within a progress listener of an extension should not disrupt the typical operation of browsing tabs.
P3,Cease demanding goog-white-exp.
P3,Please refrain from asking for goog-white-exp.
P3,Alter the columns in the designated places within the library (session) to retain their modifications.
P3,Alter the column layout in the persistent places/library session.
P4,Create movable/draggable columns in various sections of the library.
P4,Rearrange the columns in a way that they can be easily moved or dragged within the places/library.
P4,Allow for interchangeability and drag-and-drop functionality in creating columns within a places/library.
P4,Allow for interchangeable/drag-and-drop columns within the places/library.
P4,Enable the ability to interchange or move columns within the places/library.
P4,Rearrange the columns in the library so that they can be easily moved or exchanged.
P3,"There is an issue with session restore where incorrect tabs are being restored, if any at all."
P3,"Re-establishing session, but incorrect tabs may be restored, if any."
P3,"The feature 'Recently Starred Pages' appears to be completely arbitrary as it displays bookmarks that have not been visited in a long time, sometimes even weeks."
P3,"The feature of 'Recently Starred Pages' appears rather arbitrary as it displays saved links that I have not accessed in a considerable amount of time, perhaps even weeks in certain instances."
P4,Modifying the feed handler into a web handler results in a leakage of the nsGlobalWindow.
P4,Altering the feed handler to a web handler causes a leakage of nsGlobalWindow.
P4,The nsGlobalWindow is leaked when switching from a feed handler to a web handler.
P4,Modifying the feed handler to a web handler causes the nsGlobalWindow to be unintentionally exposed.
P4,Modifying the feed handler to a web handler results in the unintended release of nsGlobalWindow.
P4,Switching from feed handler to web handler results in a leakage of nsGlobalWindow.
P4,"Does the bookmark only become visible after restarting? An error message saying ""Attempting to obtain a result node for an incorrect bookmark ID"" appears when attempting to add a bookmark."
P4,"'Is the bookmark not appearing until a restart? An ""invalid bookmark identifier"" assertion occurs when attempting to add a bookmark and acquire a result node.'"
P4,"Is it possible for the bookmark to only appear after restarting the system? An error message appears that says ""unable to find a valid bookmark ID"" when attempting to add a bookmark."
P4,Is it possible that the bookmark is not visible until the program is restarted? An error may occur when attempting to add a bookmark if the identifier is invalid.
P4,"""Is the bookmark not appearing until a restart? Encountering an ""Invalid Bookmark Identifier"" assertion when attempting to add a bookmark."""
P4,"Is it possible that the bookmark does not appear until the device is restarted? An assertion stating ""attempting to retrieve a result node for an invalid bookmark identifier"" occurs when a bookmark is being added."
P3,"When the cursor reaches the next menu, it will not expand in the Places Organizer."
P3,The Places Organizer menu will not enlarge upon the arrival of the cursor.
P3,The status of the history sidebar was not properly saved.
P3,The status of the history sidebar was not accurately saved.
P3,The bookmark user interface disappears after choosing a folder.
P3,The bookmark user interface vanishes upon folder selection.
P5,Is it advisable to not use tag search in the bookmarks sidebar?
P5,Shouldn't you browse through the tags in the bookmarks sidebar?
P5,Is it not advisable to use tags in the bookmarks sidebar to search for content?
P5,Is it not advisable to use the tag feature in the bookmarks sidebar?
P5,Is it advisable to avoid using tags when browsing through the bookmarks sidebar?
P5,Is it necessary to avoid searching through tags in the bookmarks sidebar?
P5,Is it not recommended to search using tags on the bookmarks sidebar?
P5,Shouldn't you avoid using tags to find bookmarks in the sidebar?
P5,Is it not advisable to use tags when searching in the bookmarks sidebar?
P5,Should tags be avoided when browsing through the bookmarks sidebar?
P5,Is it not advisable to browse through tags in the bookmarks sidebar?
P5,Is searching by tag not recommended in the bookmarks sidebar?
P5,Shouldn't you avoid browsing through tags in the bookmarks sidebar?
P5,Is it advisable to not use tag searching in the bookmarks sidebar?
P5,Is it not advisable to use tags to search in the bookmarks sidebar?
P5,Is searching using tags not recommended in the bookmarks sidebar?
P5,Is it not advisable to use tags when searching in the bookmarks sidebar?
P5,Is it necessary to avoid using tags when searching in the bookmarks sidebar?
P5,Can you please refrain from using tags to search through the bookmarks sidebar?
P5,Is it recommended not to browse using tags in the bookmarks sidebar?
P4,The Bookmarks Contextual Dialog can be found at the top-left corner of the window rather than under the star button.
P4,"The Contextual Dialog for Bookmarks will appear in the upper-left corner of the window, rather than appearing below the star button."
P4,"The dialog window of Bookmarks Contextual will appear in the upper left corner of the screen, rather than below the star button."
P4,The context-sensitive dialogue box for bookmarks appears in the upper-left area of the window instead of below the star button.
P4,"The Bookmarks Contextual Dialog appears at the upper left corner of the window, rather than below the star button."
P4,"The Bookmarks Contextual Dialog appears at the top-left corner of the window, rather than directly under the star button."
P3,Selecting star by clicking should not choose the address bar (Inconsistent outcome)
P3,Selecting the star should not automatically highlight the address bar (Inconsistent action)
P3,Using RunInBatchedMode in a RunBatched function results in a freeze.
P3,The activation of RunInBatchedMode in a RunBatched implementation leads to a stalemate.
P3,The bookmarks menu's drag and drop function is targeting incorrectly.
P3,The target for drag and drop on the bookmarks menu is incorrect.
P3,Rearranging a bookmark within a folder by dragging and dropping will result in it being placed in a randomized position within the folder.
P3,Changing the order of bookmarks within a folder using the drag and drop method results in the bookmark being placed in a non-linear location within the folder.
P3,Examine the effectiveness of AdjustIndices() function.
P3,Examine the effectiveness of AdjustIndices() function.
P4,Please eliminate all code paths intended for pre-release migration following the 3.0 release.
P4,"After the release of version 3.0, all migration code paths that were intended for pre-release should be eliminated."
P4,"After the 3.0 release, eliminate any pre-release migration code routes."
P4,Remove any migration code that was used prior to the 3.0 release.
P4,"After the 3.0 release, eliminate all migration code paths used before the release."
P4,"After the 3.0 release, all pre-release migration code paths should be eliminated."
P4,The ability to view information about line separators through Properties (Get Info on Mac) for bookmarks is not functioning properly.
P4,[bookmarks] Characteristics (Obtain Information on Mac) regarding line separators are not functioning properly.
P4,The line separators in [bookmarks] Properties (accessible through Get Info on a Mac) are not functioning correctly.
P4,"The feature for line separators in Properties (accessible through the ""Get Info"" function on Mac) is not functioning properly."
P4,[bookmarks] The function for displaying line separators is not working properly in Properties (Get Info on Mac).
P4,The functionality of [bookmarks] Properties (Get Info on Mac) for line separators is not functioning properly.
P4,"When performing a cut, copy, and paste action on a location request, we transform it into a directory."
P4,"When we cut/copy/paste a location inquiry, it is changed into a directory."
P4,"When a location query is cut or copied and then pasted, it is transformed into a folder."
P4,"When we copy or paste a location query, we transform it into a directory."
P4,"When we cut/copy/paste a location search, we change it into a directory."
P4,"When a location query is being cut or copied to be pasted, we transform it into a folder."
P3,The location bar's content can be chosen with a single click on OS X.
P3,"A single click on the location bar should highlight its contents, on the OS X operating system."
P4,"When hovering over a bookmark folder on the toolbar, the icon for dragging and dropping becomes smaller than the standard size, causing unstable behavior during the dragging and dropping process."
P4,"The icon for a bookmark folder being hovered over during a drag and drop is smaller than the standard size, causing the items to shift unpredictably when dragged and dropped while hovering over a folder on the bookmark toolbar."
P4,"The size of the bookmark folder icon when it is being dragged and dropped is smaller than its usual size, causing the items to shift. Dragging and dropping acts abnormally when hovering over folders on the bookmark toolbar."
P4,"The bookmark folder icon when dragged and hovered over is smaller than its usual size, causing inconsistency in the behavior of drag and drop on the bookmark toolbar."
P4,"The size of the bookmark folder icon becomes smaller when it is being dragged and hovered over, causing inconsistency in dragging and dropping items while hovering over a folder on the bookmark toolbar."
P4,The icon for a bookmark folder that is being hovered over while dragging and dropping appears smaller than the regular size. This can cause issues with the behavior of the drag and drop function on the bookmark toolbar.
P4,User interface progress for autocompletion of URL bar.
P4,Progress of the autocomplete user interface in the URL bar.
P4,User interface progress for autocomplete in the URL bar.
P4,UI progress for autocomplete in the URL bar.
P4,'Progress of user interface for autocomplete in URL bar'
P4,The interface for progress in autocomplete for the URL bar.
P3,The proto handler dialog requires more accessibility attention.
P3,The proto handler dialogue requires improvement in terms of accessibility.
P3,The Zoom function is unavailable while an image is displayed without accompanying text.
P3,"The option to zoom in under the ""View"" menu is not available if there is only an image displayed with no accompanying text."
P3,Bring back the animateFadeIn functionality for Mac preferences panels (undo previous fix for bug 394881).
P3,Reestablish the animation effect when fading in prefpanes on Mac (undo the solution for bug 394881).
P3,Multiple declines stemming from issue 398807
P3,Multiple backslides originating from defect 398807
P3,Conclude the creation of graphics that display identity details (Larry)
P3,Complete the visual representation of identity information (Larry).
P4,Adjust the hue of tab frame shades.
P4,Modify the colors of the tab borders.
P4,Adjust the hue of the border surrounding the tabs.
P4,Adjust the color of the borders on the tab.
P4,Adjust the colors of the tab borders.
P4,Adjust the shade of border colors for the tab.
P4,Rearrange the order of the history list in the bookmarks menu by placing Show All History at the top (ensuring parity with the rest of the menu).
P4,Rearrange the position of Show All History to the uppermost section of the menu's history list (in accordance with the bookmarks menu).
P4,Shift the location of Show All History to the uppermost spot on the history list within the menu (matching the placement within the bookmarks menu).
P4,Place Show All History at the beginning of the history list in the menu (in line with the bookmarks menu).
P4,'Relocate the option for viewing the full browsing history to the uppermost section of the history list in the menu (consistent with the bookmarks menu)'
P4,Place Display All Past Events at the beginning of the history menu in the bookmarks menu (matching with the bookmarks menu).
